sales,CNYExchangeRateIndex,display_size,primary_camera,storage,battery,Prices
0.34,498.4380609,4,8,32,1510,2.663870465
0.48,413.2852144,4,8,32,1510,2.667845042
0.29,462.0203468,4,8,32,1510,2.686591586
0.28,329.8922502,4,8,32,1510,2.669716582
0.2,462.3736165,4,8,32,1510,2.70341176
0.21,412.600689,4,8,32,1510,2.677342281
0.06,405.3747436,4,8,32,1510,2.697098511
0.07,489.8870929,4,8,32,1510,2.630041211
0.05,469.5013524,4,8,32,1510,2.627150705
0.05,426.4462429,4,8,32,1510,2.58500928
0.24,75.9900676,5.2,13,24,3000,2.627867464
0.46,75.9900676,5.2,13,24,3000,2.615034229
0.44,139.9838327,5.2,13,24,3000,2.602201114
0.52,375.6308191,5.2,13,24,3000,2.589357486
0.41,367.0692237,5.2,13,24,3000,2.576525627
0.41,550.7382904,5.2,13,24,3000,2.56368276
0.49,409.071451,5.2,13,24,3000,2.58067413
0.5,337.2434105,5.2,13,24,3000,2.556290437
0.51,393.6245596,5.2,13,24,3000,2.557519232
0.445,537.3348219,5.2,13,24,3000,2.523291129
0.38,389.3437619,5.2,13,24,3000,2.533772058
0.28,607.3304821,5.2,13,24,3000,2.527475228
0.19,246.1937987,5.2,13,24,3000,2.510906772
0.12,251.8391873,5.2,13,24,3000,2.468686952
0.22,421.4619384,5.2,13,24,3000,2.479272912
0.06,412.7271715,5.2,13,24,3000,2.484413738
0.67,15.07921111,4,8,64,1560,2.912471824
0.21,10.43945385,4,8,64,1560,2.899634493
0.51,95.51193328,4,8,64,1560,2.886795189
0.55,576.6892423,4,8,64,1560,2.873959655
0.31,690.1420728,4,8,64,1560,2.861122024
0.67,562.740531,4,8,64,1560,2.848287669
0.3,528.6376345,4,8,64,1560,2.859264423
0.25,546.0223137,4,8,64,1560,2.859264423
0.23,845.7182696,4,8,64,1560,2.856287728
0.22,596.4691666,4,8,64,1560,2.83092853
0.14,858.2212467,4,8,64,1560,2.869431215
0.41,577.0052515,4,8,64,1560,2.841728526
0.04,498.3138329,4,8,64,1560,2.821677259
0.02,608.3348728,4,8,64,1560,2.777948532
0.04,621.1164009,4,8,64,1560,2.770910895
0.04,647.533774,4,8,64,1560,2.74112007
0.86,139.9838327,4.7,8,64,1810,2.850946279
0.69,95.51193328,4.7,8,64,1810,2.852211526
1.07,139.9838327,4.7,8,64,1810,2.850774851
1.14,501.8930392,4.7,8,64,1810,2.833695214
0.73,139.9838327,4,8,32,1440,2.856928173
0.06,79.46988555,4,8,32,1440,2.856275635
0.75,95.51193328,4,8,32,1440,2.856003454
0.78,638.2534454,4,8,32,1440,2.855894534
0.45,637.5053449,4,8,32,1440,2.843052044
0.12,592.7217369,4,8,32,1440,2.83021644
0.25,576.5550057,4,8,32,1440,2.817380243
0.32,562.0709475,4,8,32,1440,2.804541497
0.12,608.5303016,4,8,32,1440,2.791704681
0.06,550.4124937,4,8,32,1440,2.778867246
0.05,537.161416,4,8,32,1440,2.766033417
0.07,705.8400838,4,8,32,1440,2.753192248
0.03,556.2810184,4,8,32,1440,2.740354793
0.05,483.6450713,4,8,32,1440,2.727516858
0.03,532.3833613,4,8,32,1440,2.739635625
0.02,658.0239891,4,8,32,1440,2.739635625
0.01,509.857222,4,8,32,1440,2.70623971
0.01,520.3237031,4,8,32,1440,2.668814408
0.01,760.8053741,4,8,32,1440,2.681024036
0.01,367.2683342,4,8,32,1440,2.664058765
0.01,338.189388,4,8,32,1440,2.659669048
0.01,529.912194,4,8,32,1440,2.636808734
0.01,517.1806306,4,8,32,1440,2.595220567
0.01,331.4564829,4,8,32,1440,2.558648581
0.54,10.43945385,3.5,8,8,1430,2.59206567
0.03,98.22872126,3.5,8,8,1430,2.579223224
0.72,10.43945385,3.5,8,8,1430,2.566390348
0.56,416.983757,3.5,8,8,1430,2.553555363
0.14,291.8796372,3.5,8,8,1430,2.540717288
0.31,265.6664311,3.5,8,8,1430,2.527874686
0.25,290.7122142,3.5,8,8,1430,2.52209196
0.19,621.0421781,3.5,8,8,1430,2.52209196
0.33,331.7954163,3.5,8,8,1430,2.500373714
0.34,610.9428204,3.5,8,8,1430,2.479719235
0.23,312.861093,3.5,8,8,1430,2.502085559
0.42,248.2335106,3.5,8,8,1430,2.490702748
0.03,307.281269,3.5,8,8,1430,2.481929682
0.02,370.1553467,3.5,8,8,1430,2.462682442
0.04,411.9963053,3.5,8,8,1430,2.462861996
0.04,360.1737456,3.5,8,8,1430,2.418847959
0.01,98.22872126,4.7,4,64,2300,2.769089178
0.07,150.0544619,4.7,4,64,2300,2.769089178
0.13,10.43945385,4.7,4,64,2300,2.769089178
1.74,557.0835128,4.7,4,64,2300,2.756248036
0.15,489.4128271,4.7,4,64,2300,2.743415684
0.05,505.2577721,4.7,4,64,2300,2.730572343
0.27,545.2247334,4.7,4,64,2300,2.717737056
0.13,533.7192238,4.7,4,64,2300,2.704905156
0.13,470.7135357,4.7,4,64,2300,2.69206219
0.08,444.0211324,4.7,4,64,2300,2.679227966
0.12,433.4923096,4.7,4,64,2300,2.666386924
0.1,423.2613416,4.7,4,64,2300,2.653550167
0.17,481.0058411,4.7,4,64,2300,2.640719886
0.18,419.5379153,4.7,4,64,2300,2.627109711
0.2,394.3347863,4.7,4,64,2300,2.603653098
0.17,401.0986217,4.7,4,64,2300,2.576410463
0.07,594.7663486,4.7,4,64,2300,2.567238165
0.05,428.1469945,4.7,4,64,2300,2.56729698
0.07,343.5678505,4.7,4,64,2300,2.584613876
0.01,405.7801729,4.7,4,64,2300,2.532410373
0.01,557.0011237,4.7,4,64,2300,2.501866819
0.01,416.2189465,4.7,4,64,2300,2.504239721
0.5,150.0544619,5.7,16,32,3220,2.813347434
1.06,146.2129124,5.7,16,32,3220,2.796407799
0.98,385.5942889,5.7,16,32,3220,2.778201915
1.06,465.7751692,5.7,16,32,3220,2.757039032
0.24,15.07921111,4.7,10,16,2200,2.656634747
0.3,198.9998746,4.7,10,16,2200,2.643798001
0.44,198.9998746,4.7,10,16,2200,2.630966595
0.22,329.2537424,4.7,10,16,2200,2.618131808
0.22,315.4636069,4.7,10,16,2200,2.605294269
0.17,394.3848919,4.7,10,16,2200,2.592454351
0.18,297.9594389,4.7,10,16,2200,2.565588108
0.32,425.906934,4.7,10,16,2200,2.548389418
0.36,300.0117675,4.7,10,16,2200,2.541491877
0.37,265.1954048,4.7,10,16,2200,2.534470332
0.31,287.7821537,4.7,10,16,2200,2.510464578
0.28,626.6004284,4.7,10,16,2200,2.479560915
0.06,335.381923,4.7,10,16,2200,2.451218259
0.04,609.9828982,4.7,10,16,2200,2.454417975
0.01,292.2939265,4.7,10,16,2200,2.450803173
0.03,224.7722455,4.7,10,16,2200,2.447158031
0.39,98.24096967,5.5,8,16,2915,2.852827534
0.5,154.2296881,5.5,8,16,2915,2.851997854
0.85,198.9998746,5.5,8,16,2915,2.83943405
0.68,647.8167455,5.5,8,16,2915,2.832106365
0.26,98.24096967,4.8,8,64,2100,2.613069761
0.12,154.2296881,4.8,8,64,2100,2.600951126
0.09,10.43945385,4.8,8,64,2100,2.600951126
0.22,438.4178549,4.8,8,64,2100,2.588484599
0.2,359.6853193,4.8,8,64,2100,2.575649615
0.21,374.6087148,4.8,8,64,2100,2.562804198
0.2,422.7770116,4.8,8,64,2100,2.54997137
0.1,414.9565899,4.8,8,64,2100,2.537138797
0.18,351.3691092,4.8,8,64,2100,2.524292243
0.13,329.0755377,4.8,8,64,2100,2.511455537
0.28,321.9200943,4.8,8,64,2100,2.498627542
0.09,314.9655298,4.8,8,64,2100,2.485778193
0.11,379.1308849,4.8,8,64,2100,2.472946503
0.12,316.5962865,4.8,8,64,2100,2.460115709
0.15,295.3071093,4.8,8,64,2100,2.422097163
0.08,304.0586751,4.8,8,64,2100,2.422097163
0.01,510.8032855,4.8,8,64,2100,2.420021796
0.01,337.3065217,4.8,8,64,2100,2.40462849
0.81,83.3175742,4.7,8,128,1810,2.892228211
0.75,154.2296881,4.7,8,128,1810,2.907233952
0.41,310.9773115,4.7,8,128,1810,2.902568521
0.4,633.2115285,4.7,8,128,1810,2.897951317
0.02,154.2296881,5.8,8,8,2600,2.516522153
0.08,154.2296881,5.8,8,8,2600,2.503695373
0.07,146.7615192,5.8,8,8,2600,2.490857059
0.3,636.9047397,5.8,8,8,2600,2.47801787
0.2,235.997465,5.8,8,8,2600,2.465174578
0.2,229.5624148,5.8,8,8,2600,2.452338544
0.44,420.7628235,5.8,8,8,2600,2.439506377
0.46,414.6948967,5.8,8,8,2600,2.415857739
0.1,211.3586343,5.8,8,8,2600,2.410085184
0.11,201.0042199,5.8,8,8,2600,2.40757784
0.19,286.6315545,5.8,8,8,2600,2.405055936
0.18,188.5220234,5.8,8,8,2600,2.402519303
0.07,334.4581744,5.8,8,8,2600,2.343073634
0.06,205.0307027,5.8,8,8,2600,2.327174959
0.04,185.4464988,5.8,8,8,2600,2.331872498
0.04,195.5371975,5.8,8,8,2600,2.294223659
0.03,556.4977823,5.8,8,8,2600,2.437972408
0.28,106.1661462,4,8,64,1440,2.679000661
0.11,409.3644104,4,8,64,1440,2.765228823
0.21,90.27991406,4,8,64,1440,2.777027871
0.12,359.7766907,4,8,64,1440,2.893606431
0.37,509.5932313,4,8,64,1440,2.880767875
0.12,579.4067126,4,8,64,1440,2.867932765
0.23,754.7066049,4,8,64,1440,2.855094951
0.1,691.2546744,4,8,64,1440,2.842253422
0.07,617.2227372,4,8,64,1440,2.829419569
0.06,661.0397237,4,8,64,1440,2.816579321
0.05,492.1538781,4,8,64,1440,2.803743819
0.07,632.5564872,4,8,64,1440,2.790904138
0.03,666.5900556,4,8,64,1440,2.778071622
0.05,531.1189545,4,8,64,1440,2.765228823
0.03,534.1627935,4,8,64,1440,2.777027871
0.06,580.40418,4,8,64,1440,2.777027871
0.01,568.2960338,4,8,64,1440,2.762340898
0.01,520.7039101,4,8,64,1440,2.717412512
0.01,504.817678,4,8,64,1440,2.700703717
0.01,491.0332324,4,8,64,1440,2.714061387
0.01,451.6471228,4,8,64,1440,2.710582734
0.01,512.5971757,4,8,64,1440,2.688802331
0.01,464.7556852,4,8,64,1440,2.661973506
0.01,446.0086611,4,8,64,1440,2.641226155
0.23,106.1661462,5.5,8,64,2915,2.902323868
0.3,329.9332499,5.5,8,64,2915,2.912142313
0.7,164.8689486,5.5,8,64,2915,2.907142531
0.73,643.4517963,5.5,8,64,2915,2.890828852
0.43,164.8689486,5.5,13,16,3000,2.72177765
0.39,222.3939687,5.5,13,16,3000,2.680607429
0.41,329.9332499,5.5,13,16,3000,2.624756363
0.39,465.3804344,5.5,13,16,3000,2.64067022
0.57,496.8732101,5.5,13,16,3000,2.606531837
0.52,456.8082686,5.5,13,16,3000,2.584523448
0.49,157.4007797,4,8,16,1800,2.545777039
0.26,409.3644104,4,8,16,1800,2.532945376
0.08,15.07921111,4,8,16,1800,2.520103441
0.08,258.4751164,4,8,16,1800,2.507275526
0.04,448.8373754,4,8,16,1800,2.494432899
0.05,441.9520794,4,8,16,1800,2.481600265
0.07,237.8261553,4,8,16,1800,2.468760747
0.08,226.6959329,4,8,16,1800,2.455925441
0.11,316.1261121,4,8,16,1800,2.455925441
0.22,214.283005,4,8,16,1800,2.455925441
0.22,355.3080143,4,8,16,1800,2.455925441
0.11,226.9057175,4,8,16,1800,2.455925441
0.1,208.3466884,4,8,16,1800,2.455925441
0.23,42.91775471,5.5,8,128,2915,2.94928264
0.3,409.3644104,5.5,8,128,2915,2.943054062
0.41,106.1661462,5.5,8,128,2915,2.938544741
0.4,1025.702303,5.5,8,128,2915,2.93780365
0.09,90.27991406,4.5,5,4,1800,2.046729222
0.14,28.99848291,4.5,5,4,1800,2.033906037
0.19,106.1661462,4.5,5,4,1800,2.021065197
0.18,242.0064295,4.5,5,4,1800,2.008216802
0.2,287.4208241,4.5,5,4,1800,1.995371906
0.25,237.5801678,4.5,5,4,1800,1.995371906
0.35,176.757747,4.5,5,4,1800,1.995371906
0.13,233.4032729,4.5,5,4,1800,2.062130535
0.13,78.97377813,4.5,5,4,1800,2.062130535
0.14,233.4032729,4.5,5,4,1800,2.062130535
0.22,292.4497223,4.5,5,4,1800,1.919078092
0.05,170.2019914,4.5,5,4,1800,1.906227263
0.04,186.0882235,4.5,5,4,1800,1.893428842
0.05,222.3618627,4.5,5,4,1800,2
0.07,164.8689486,4.7,13,32,2100,2.656625171
0.14,106.1661462,4.7,13,32,2100,2.650258942
0.08,90.27991406,4.7,13,32,2100,2.650258942
0.14,404.4475185,4.7,13,32,2100,2.650258942
0.2,399.8757928,4.7,13,32,2100,2.637419676
0.13,474.4648273,4.7,13,32,2100,2.624581151
0.12,415.7620249,4.7,13,32,2100,2.611744544
0.12,390.8570248,4.7,13,32,2100,2.598910824
0.25,397.9877095,4.7,13,32,2100,2.586069443
0.11,613.2555596,4.7,13,32,2100,2.57323143
0.09,439.9413715,4.7,13,32,2100,2.560396874
0.01,357.3379632,4.7,13,32,2100,2.547553196
0.01,424.1481373,4.7,13,32,2100,2.534723972
0.03,474.1228831,4.7,13,32,2100,2.434536969
0.02,574.3266226,4.7,13,32,2100,2.393926007
0.03,337.6422623,4.7,13,32,2100,2.404371819
0.04,353.2656084,4.7,13,32,2100,2.404149249
0.09,164.8689486,4,5,4,1400,1.871456174
0.14,157.4007797,4,5,4,1400,1.858597345
0.18,404.7246531,4,5,4,1400,1.845779967
0.18,66.60117432,4,5,4,1400,1.832955751
0.19,65.09804633,4,5,4,1400,1.820070034
0.2,259.9319008,4,5,4,1400,1.730378469
0.2,258.518822,4,5,4,1400,1.764811039
0.2,60.85188292,4,5,4,1400,1.796713063
0.21,47.67131083,4,5,4,1400,1.730378469
0.21,50.74337196,4,5,4,1400,1.766189693
0.12,200.3798496,4,5,4,1400,1.737033531
0.04,66.2303399,4,5,4,1400,1.773201142
0.03,50.87151882,4,5,4,1400,1.598133646
0.03,80.72454083,4,5,4,1400,1.579783597
0.13,404.7246531,5,4,16,2600,2.745730425
0.6,106.1661462,5,4,16,2600,2.737526587
0.28,404.7246531,5,4,16,2600,2.716946075
0.21,474.8350863,5,4,16,2600,2.704365036
0.4,407.4958093,5,4,16,2600,2.691558865
0.25,467.1454509,5,4,16,2600,2.681512587
0.28,510.9013328,5,4,16,2600,2.679173424
0.11,551.8504402,5,4,16,2600,2.670134481
0.03,492.9261385,5,4,16,2600,2.670830087
0.13,106.1661462,5.1,16,16,2800,2.693946678
0.13,106.1661462,5.1,16,16,2800,2.693946678
0.16,160.2291914,5.1,16,16,2800,2.67413518
0.16,352.7993667,5.1,16,16,2800,2.664162295
0.16,502.5891042,5.1,16,16,2800,2.661358284
0.21,538.4608254,5.1,16,16,2800,2.654657755
0.09,408.7875037,5.1,16,16,2800,2.64615857
0.08,423.7763985,5.1,16,16,2800,2.615518698
0.08,472.9767901,5.1,16,16,2800,2.60129931
0.08,466.9157901,5.1,16,16,2800,2.60129931
0.2,89.11997474,5,8,16,2600,2.667107248
0.11,89.11997474,5,8,16,2600,2.654272827
0.08,89.11997474,5,8,16,2600,2.641434447
0.08,482.0717534,5,8,16,2600,2.628593256
0.08,418.6366706,5,8,16,2600,2.61576073
0.05,392.4886089,5,8,16,2600,2.602916877
0.07,400.6961106,5,8,16,2600,2.590083553
0.07,605.4483114,5,8,16,2600,2.577250458
0.13,437.8506976,5,8,16,2600,2.566684917
0.06,358.6578388,5,8,16,2600,2.528505339
0.05,421.9189263,5,8,16,2600,2.570741362
0.08,471.0288802,5,8,16,2600,2.553033016
0.05,553.3999071,5,8,16,2600,2.574933662
0.05,358.1473647,5,8,16,2600,2.539276882
0.04,407.725796,5,8,16,2600,2.490084955
0.01,420.526628,5,8,16,2600,2.497372016
0.01,396.7839562,5,8,16,2600,2.464638559
0.01,628.1063942,5,8,16,2600,2.507882846
0.2,15.07921111,4,8,8,1510,2.541379522
0.3,15.07921111,4,8,8,1510,2.518224314
0.25,106.1661462,4,8,8,1510,2.517090282
0.29,454.6313821,4,8,8,1510,2.498186452
0.05,213.6875843,4,5,4,2460,2.304296603
0.13,15.07921111,4,5,4,2460,2.291457654
0.13,10.43945385,4,5,4,2460,2.278616434
0.28,150.0225515,4,5,4,2460,2.265784468
0.18,293.3147216,4,5,4,2460,2.252950069
0.16,160.5672069,4,5,4,2460,2.240099746
0.08,138.1776259,4,5,4,2460,2.227269517
0.1,166.9362045,4,5,4,2460,2.214419939
0.13,534.406798,4,5,4,2460,2.214419939
0.06,223.0637868,4,5,4,2460,2.17498965
0.04,527.4937946,4,5,4,2460,2.147521744
0.03,204.9294803,4,5,4,2460,2.118198568
0.02,132.638119,4,5,4,2460,2.086751231
0.02,203.4538543,4,5,4,2460,2.061942292
0.01,260.4444861,4,5,4,2460,2.035629828
0.1,213.6875843,4,8,32,1570,2.819306983
0.1,169.5087059,4,8,32,1570,2.806464886
0.17,106.1661462,4,8,32,1570,2.793629764
0.09,563.0893488,4,8,32,1570,2.780792399
0.08,549.7759294,4,8,32,1570,2.767956901
0.09,600.1999007,4,8,32,1570,2.755119899
0.07,428.5861104,4,8,32,1570,2.737574272
0.06,575.4779476,4,8,32,1570,2.741844656
0.08,607.8326809,4,8,32,1570,2.754890865
0.07,469.9787409,4,8,32,1570,2.739770066
0.07,488.4455366,4,8,32,1570,2.750230604
0.06,563.4459968,4,8,32,1570,2.722403554
0.03,549.9663329,4,8,32,1570,2.685634271
0.03,481.172542,4,8,32,1570,2.695446651
0.03,456.983957,4,8,32,1570,2.67775291
0.03,427.3093011,4,8,32,1570,2.64526503
0.23,169.5087059,4,5,4,2100,2.429461577
0.21,106.1661462,4,5,4,2100,2.433369747
0.16,91.43985338,4,5,4,2100,2.561745189
0.02,292.3739191,4,5,4,2100,2.561745189
0.04,528.2637029,4,5,4,2100,2.548905105
0.06,422.0203551,4,5,4,2100,2.536065795
0.06,343.9515026,4,5,4,2100,2.523226042
0.03,414.6640329,4,5,4,2100,2.51039754
0.05,467.1729432,4,5,4,2100,2.497551599
0.04,571.4526571,4,5,4,2100,2.484712579
0.05,324.7289954,4,5,4,2100,2.471878199
0.02,387.3237278,4,5,4,2100,2.459045517
0.02,380.9787267,4,5,4,2100,2.446210858
0.016666667,363.1097339,4,5,4,2100,2.433369747
0.013333333,510.1037357,4,5,4,2100,2.420137355
0.01,208.608672,4,5,4,2100,2.406489084
0.03,15.07921111,6,13,32,3500,2.746338342
0.17,72.52790599,6,13,32,3500,2.733502208
0.23,149.8909219,6,13,32,3500,2.692185725
0.1,536.1463282,6,13,32,3500,2.650977394
0.1,390.0854015,6,13,32,3500,2.644940545
0.115,351.4139953,6,13,32,3500,2.59236554
0.13,320.54792,6,13,32,3500,2.638629007
0.03,413.4720179,6,13,32,3500,2.581198461
0.09,299.9563526,6,13,32,3500,2.598297954
0.09,311.8547143,6,13,32,3500,2.52815795
0.1,306.9972553,6,13,32,3500,2.534318077
0.07,585.4540873,6,13,32,3500,2.531823661
0.24,72.52790599,4,5,8,1800,2.595661531
0.22,310.7695685,4,5,8,1800,2.591342912
0.06,78.6805209,4,5,8,1800,2.591342912
0.08,302.020556,4,5,8,1800,2.578513143
0.1,342.8485049,4,5,8,1800,2.56567076
0.06,438.6693655,4,5,8,1800,2.552838494
0.03,412.342611,4,5,8,1800,2.539602957
0.03,423.1532055,4,5,8,1800,2.525964278
0.02,319.9136809,4,5,8,1800,2.511869998
0.02,312.4880901,4,5,8,1800,2.497316744
0.02,305.0694262,4,5,8,1800,2.473457773
